asserter,assertionId,assertionTimestamp,bond,currency,disputeHash,disputeTimestamp,disputer,expirationTime,id,settlementResolution,settlementTimestamp,currencySymbol,bondUSD,wasDisputed,isSettled,timeToDispute,timeToSettlement,asserterWon,disputerWon
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x2ab7f000de0b55e3d3a9be1239d2ca7efb4468e991b92539fe2e3b1070de4031,2025-04-13 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-14 22:37:23,0x2ab7f000de0b55e3d3a9be1239d2ca7efb4468e991b92539fe2e3b1070de4031,True,2025-04-14 22:42:23,USDC,599.94,False,True,,86700.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xfbfa17587d0c94921472d5ec449f0037eeb528d96cf8a4df16aabf083eea467d,2025-04-12 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-13 22:37:23,0xfbfa17587d0c94921472d5ec449f0037eeb528d96cf8a4df16aabf083eea467d,True,2025-04-13 22:42:35,USDC,599.94,False,True,,86712.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x3fd3d7437bac2409430d3d9a9ad7c96d9ccd4be876c581818a6331534dd6676f,2025-04-11 22:37:35,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-12 22:37:35,0x3fd3d7437bac2409430d3d9a9ad7c96d9ccd4be876c581818a6331534dd6676f,True,2025-04-12 22:37:47,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xd1b6037c98c18cd1b320a620f4337055ec9776b521a344f2e40f4f90c0fd401f,2025-04-10 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-11 22:37:23,0xd1b6037c98c18cd1b320a620f4337055ec9776b521a344f2e40f4f90c0fd401f,True,2025-04-11 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xa8fd789a5b8c2c116b30f86aab91e004606f59d9e3f856dd5a094c183b78f982,2025-04-09 22:37:35,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-10 22:37:35,0xa8fd789a5b8c2c116b30f86aab91e004606f59d9e3f856dd5a094c183b78f982,True,2025-04-10 22:42:35,USDC,599.94,False,True,,86700.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x64d847bc6750fa48a29db62810a33b0c488ebb3d05059d416c10386661767b3f,2025-04-08 22:37:35,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-09 22:37:35,0x64d847bc6750fa48a29db62810a33b0c488ebb3d05059d416c10386661767b3f,True,2025-04-09 22:42:35,USDC,599.94,False,True,,86700.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x079347a6781056cb689c5e7bc981984f927c59eb62e250ca913a7f5c1f6dc75d,2025-04-07 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-08 22:37:23,0x079347a6781056cb689c5e7bc981984f927c59eb62e250ca913a7f5c1f6dc75d,True,2025-04-08 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x451f7d5ac23d9a77c328296d04eab3ca09974af775851b3ed5ab17b0823c380f,2025-04-06 22:37:47,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-07 22:37:47,0x451f7d5ac23d9a77c328296d04eab3ca09974af775851b3ed5ab17b0823c380f,True,2025-04-07 22:42:23,USDC,599.94,False,True,,86676.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xce9e1870303230c040889b06e43a85f141273e1bd707e2e6d0a223e68d443e8a,2025-04-03 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-04 22:37:23,0xce9e1870303230c040889b06e43a85f141273e1bd707e2e6d0a223e68d443e8a,True,2025-04-04 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x33965f7d08f61a62b86c1ab9be5d82c42f4c3081,0xb872f9c48f72e954886e81308b9c373c925659068ca508d740f2222b9af91d39,2025-04-03 20:02:47,2e+18,0xc02aaa39b223fe8d0a0e5c4f27ead9083c756cc2,,,,2025-04-06 20:02:47,0xb872f9c48f72e954886e81308b9c373c925659068ca508d740f2222b9af91d39,True,2025-04-06 20:07:23,WETH,3689.3986,False,True,,259476.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x0ea62ee3cdc6c038fdde7ef1a9b39bb8f2e01b23685650af6b3aa9163cc89b08,2025-04-02 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-03 22:37:23,0x0ea62ee3cdc6c038fdde7ef1a9b39bb8f2e01b23685650af6b3aa9163cc89b08,True,2025-04-03 22:37:47,USDC,599.94,False,True,,86424.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0xea66347594f64fb13f4689a3eeab116064dab69c9951f7edb1387f113ef93a75,2025-04-01 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-02 22:37:23,0xea66347594f64fb13f4689a3eeab116064dab69c9951f7edb1387f113ef93a75,True,2025-04-02 22:37:35,USDC,599.94,False,True,,86412.0,True,False
0x51881a1cde5dbae15d02ae1824940b19768d8f2b,0x586d8166127b107bea229bf69aa3e74bb8418278076312ab17d1fd2444bd7d75,2025-03-31 22:37:23,600000000.0,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,,,,2025-04-01 22:37:23,0x586d8166127b107bea229bf69aa3e74bb8418278076312ab17d1fd2444bd7d75,True,2025-04-01 22:37:35,USDC,599.94,False,True,,86412.0,True,False
