juror,total_votes,votes_cast,votes_missed,vote_0,vote_1,vote_2,participation_rate
0x58E603d9824976F7a3940C6B408F0Ffa523a216C,1,1,0,0,0,0,1.0
0x59B2f9fCF70C128c02FF7825375abe1260BfC339,1,0,1,0,0,0,0.0
0x59fb64a07eD45803aB40c0Fc4B15930Ac350D0c0,5,5,0,0,0,0,1.0
0x5Aa490e17edf4dE7e8699C5465061Ab44c017993,1,1,0,0,0,0,1.0
0x5C9238b55b318C928Fb1da8D2B28BcCecd7AF125,2,0,2,0,0,0,0.0
0x5D81626Dab13Be9d6a541fbef03bDD88e200b9c7,1,1,0,0,0,0,1.0
0x5FDAb11E7D3ae700AF9e8c50e976CD0A85b12438,28,27,1,0,0,0,0.9642857142857143
0x5ba8Fa73C2765229686D1b4777f14A34F036d806,1,0,1,0,0,0,0.0
0x5c85985bB0c1D4A8556b27DC6FD18D4e4f5556c2,3,1,2,0,0,0,0.3333333333333333
0x5e376F43d6C5f6a0424a6849335600d5cD8EE8b7,1,1,0,0,0,0,1.0
0x5e5FFEf1103717f17a9A155D0c7646EC5e16551E,1,0,1,0,0,0,0.0
0x5e7B645d5Bf86750CB1913122ba8A8545e2A9FD1,179,174,5,0,0,0,0.9720670391061452
0x600E347e295D83298b7d2b81F7B5DDDE65254888,2,1,1,0,0,0,0.5
0x607dEe1d3576a61D9684c445645794bA891d34b7,5,5,0,0,0,0,1.0
0x60959Ed8307EE2b0d04306f6b319AEeE8864f1Ee,2,1,1,0,0,0,0.5
0x60DA07cFb273051AA9827dABFfcD298c305cd00D,201,189,12,0,0,0,0.9402985074626866
0x6120f29ccb5b1DDaa5a747235F257Ef6cB47970F,10,10,0,0,0,0,1.0
0x62C74072950284822476189884804127AF35CBC0,3,2,1,0,0,0,0.6666666666666666
0x645512B5728Fa77494055c9fB685DFC67162aDDB,1,0,1,0,0,0,0.0
0x648B826F860C7d41979d9f8fd78b7C45D5d6bF72,1,0,1,0,0,0,0.0
0x668427535A83740168728F2859D2C674a1ebA0D0,1,0,1,0,0,0,0.0
0x67D3E754580A2835C49fd8959f2dc7fd57EaF33B,1,0,1,0,0,0,0.0
0x6871D1a603fEb9Cc2aA8213B9ab16B33e418cD8F,4,4,0,0,0,0,1.0
0x689A8B91C3C72e16034f4C45D9c936F25041Aa3b,1,1,0,0,0,0,1.0
0x6942B6a8F3D8084d8DEcAbFED15acEEad5cCb83E,1,1,0,0,0,0,1.0
0x69624640535E70a158FE9C2FA1DB4E5e4827A32e,12,12,0,0,0,0,1.0
